aX,aY,aZ,gX,gY,gZ
0.879,-0.543,1.207,-1.587,-55.115,-151.428
0.810,-0.606,1.190,3.906,-31.372,-144.470
0.750,-0.645,1.177,8.423,-11.780,-137.390
0.764,-0.682,1.173,11.353,5.188,-135.803
0.747,-0.713,1.174,17.090,20.264,-141.052
0.651,-0.777,1.145,26.672,32.166,-151.062
0.522,-0.891,1.105,32.104,42.542,-157.410
0.477,-0.903,1.075,29.541,55.969,-152.954
0.472,-0.964,1.075,28.625,70.923,-143.860
0.410,-1.022,1.076,28.015,81.482,-137.329
0.369,-1.048,1.062,27.771,87.463,-132.080
0.343,-1.104,1.008,36.194,92.468,-124.451
0.308,-1.126,0.932,49.438,98.328,-110.352
0.302,-1.112,0.858,60.608,102.783,-93.689
0.307,-1.080,0.770,69.458,104.004,-80.933
0.331,-1.023,0.684,77.698,104.187,-73.181
0.346,-0.985,0.592,83.374,104.553,-68.420
0.316,-0.971,0.523,83.191,101.685,-68.481
0.293,-0.973,0.448,77.820,96.191,-72.632
0.288,-0.988,0.395,71.777,94.299,-72.632
0.231,-1.004,0.365,64.880,92.102,-68.665
0.161,-1.050,0.348,56.702,87.280,-65.247
0.094,-1.125,0.341,50.415,81.787,-61.096
0.029,-1.187,0.301,49.194,77.637,-52.673
0.070,-1.217,0.314,54.565,78.613,-39.307
0.028,-1.238,0.272,61.218,75.745,-26.001
0.039,-1.242,0.271,66.833,75.867,-16.357
0.072,-1.295,0.282,70.557,69.458,-5.432
0.077,-1.260,0.258,66.406,55.176,2.502
0.132,-1.176,0.254,60.364,39.856,7.324
0.141,-1.118,0.152,59.692,21.729,7.935
0.147,-1.057,0.066,69.214,4.700,4.944
0.140,-1.025,0.015,82.520,-8.606,-0.244
0.126,-1.006,0.041,90.454,-17.456,-1.831
0.114,-1.051,0.078,89.355,-20.813,3.479
0.118,-1.099,0.127,77.087,-17.395,15.137
0.156,-1.104,0.162,61.096,-4.211,28.564
0.187,-1.106,0.172,46.875,16.113,44.373
0.197,-1.095,0.166,33.569,39.429,61.157
0.143,-1.060,0.130,17.883,57.800,75.195
0.113,-0.999,0.091,5.310,72.693,85.876
0.160,-0.954,0.099,-6.104,83.618,94.727
0.216,-0.938,0.161,-17.639,77.820,99.792
0.116,-0.954,0.177,-24.414,60.486,96.436
0.252,-1.015,0.303,-22.888,57.190,92.590
0.284,-1.064,0.387,-20.264,54.626,94.055
0.332,-1.081,0.477,-16.052,57.434,99.243
0.408,-1.013,0.495,-9.705,68.298,105.408
0.411,-0.904,0.406,-2.991,75.745,109.924
0.549,-0.821,0.385,3.418,80.505,109.192
0.455,-0.753,0.323,7.629,69.946,101.074
0.543,-0.761,0.346,10.376,64.514,92.041
0.501,-0.759,0.319,10.925,64.758,84.473
0.598,-0.780,0.333,12.207,70.923,83.679
0.443,-0.735,0.261,12.512,69.702,83.496
0.530,-0.717,0.231,14.832,76.660,85.876
0.800,-0.735,0.281,13.000,79.895,91.187
0.667,-0.620,0.297,13.184,57.251,84.045
0.517,-0.614,0.202,28.320,58.777,76.660
0.605,-0.625,0.120,33.630,92.102,90.454
0.601,-0.511,0.021,20.752,101.135,96.619
0.737,-0.526,0.013,12.878,94.238,89.233
0.720,-0.523,0.072,12.146,73.181,72.815
0.554,-0.559,0.087,23.926,57.068,51.575
0.693,-0.698,0.116,41.626,61.584,45.532
0.631,-0.663,0.091,48.645,50.354,39.978
0.481,-0.612,0.012,61.279,41.321,36.987
0.637,-0.655,-0.024,74.463,49.316,45.837
0.445,-0.529,-0.100,71.472,40.833,49.316
0.388,-0.550,-0.211,71.960,40.039,52.368
0.568,-0.649,-0.126,68.176,48.889,64.270
0.497,-0.606,-0.148,58.960,22.156,57.434
0.365,-0.645,-0.123,69.092,3.906,48.035
0.395,-0.736,-0.093,86.853,-2.441,41.992
0.199,-0.646,-0.227,100.098,-19.653,30.457
0.280,-0.644,-0.255,114.380,-26.367,32.227
0.291,-0.604,-0.326,121.399,-46.021,35.828
0.221,-0.522,-0.357,124.512,-68.848,38.269
0.117,-0.493,-0.396,125.122,-77.698,50.049
0.153,-0.500,-0.356,114.258,-74.402,73.242
0.143,-0.393,-0.375,90.576,-84.656,90.576
0.232,-0.310,-0.332,70.923,-92.712,103.638
0.304,-0.288,-0.233,57.739,-100.159,109.680
0.349,-0.280,-0.121,48.035,-109.619,105.530
0.417,-0.297,-0.015,45.532,-117.493,97.046
0.451,-0.296,0.062,50.293,-125.793,87.708
0.446,-0.284,0.114,56.702,-133.484,81.360
0.443,-0.246,0.135,60.547,-138.306,78.308
0.475,-0.206,0.161,63.416,-140.564,76.355
0.491,-0.160,0.148,62.866,-139.160,75.806
0.510,-0.097,0.147,58.167,-134.216,77.393
0.522,-0.039,0.116,54.688,-129.883,78.674
0.532,0.012,0.088,53.162,-129.089,76.660
0.518,0.066,0.079,50.598,-133.057,71.960
0.487,0.104,0.102,43.152,-137.512,67.078
0.482,0.119,0.136,31.189,-135.925,66.223
0.488,0.115,0.179,17.395,-130.066,68.237
0.507,0.088,0.234,5.676,-122.559,71.716
0.547,0.059,0.285,-1.404,-114.868,73.364
0.579,0.056,0.312,-4.578,-108.948,71.228
0.572,0.074,0.314,-5.981,-105.652,66.711
0.569,0.100,0.315,-8.728,-104.858,61.462
0.569,0.129,0.338,-14.771,-105.164,57.190
0.566,0.124,0.364,-25.146,-105.591,56.213
0.589,0.113,0.397,-38.208,-103.516,60.059
0.614,0.088,0.447,-49.561,-99.426,67.078
0.669,0.054,0.490,-57.129,-95.032,72.388
0.722,0.037,0.534,-59.204,-90.576,74.219
0.743,0.049,0.571,-56.946,-87.646,72.815
0.750,0.062,0.623,-54.138,-84.900,69.702
0.792,0.066,0.681,-54.382,-79.102,67.383
0.850,0.073,0.706,-57.983,-71.228,66.956
0.866,0.057,0.715,-60.730,-64.575,67.810
0.847,0.041,0.716,-57.861,-60.608,65.369
0.850,0.057,0.701,-48.279,-59.143,56.213
0.846,0.105,0.654,-34.302,-60.364,41.565
0.814,0.130,0.620,-20.447,-61.584,27.771
0.776,0.150,0.601,-13.245,-60.547,19.775
0.770,0.179,0.564,-14.343,-57.007,15.991
1.066,0.899,0.687,36.621,-271.240,40.649
1.119,0.846,0.786,39.490,-271.912,29.053
1.138,0.801,0.820,45.105,-273.682,15.625
1.103,0.760,0.833,50.293,-272.461,5.493
1.025,0.713,0.865,52.368,-268.555,-3.479
0.959,0.618,0.918,49.805,-262.146,-11.353
0.898,0.537,0.990,42.480,-250.549,-15.442
0.861,0.504,1.028,35.034,-236.511,-18.555
0.782,0.458,1.087,32.104,-221.863,-22.095
0.732,0.413,1.152,31.372,-206.604,-28.809
0.752,0.381,1.236,30.212,-187.805,-36.804
0.779,0.332,1.282,25.818,-168.213,-42.419
0.774,0.298,1.311,18.127,-149.109,-46.814
0.737,0.239,1.332,13.123,-130.920,-50.964
0.769,0.140,1.508,11.963,-112.427,-53.711
0.498,0.104,1.366,9.521,-106.506,-60.242
0.552,0.009,1.422,17.639,-89.661,-67.444
0.472,-0.050,1.454,17.944,-77.820,-66.345
0.410,-0.064,1.445,12.939,-69.824,-64.758
0.312,-0.055,1.412,17.151,-61.951,-62.988
0.306,-0.090,1.424,30.273,-47.974,-65.552
0.330,-0.121,1.420,37.659,-39.734,-69.885
0.341,-0.144,1.391,35.950,-32.043,-69.458
0.359,-0.181,1.368,34.363,-20.874,-64.636
0.392,-0.169,1.351,37.109,-9.033,-61.523
0.421,-0.150,1.298,44.495,-1.343,-62.622
0.457,-0.118,1.238,54.810,3.296,-65.674
0.474,-0.084,1.190,64.087,8.423,-68.054
0.468,-0.052,1.146,68.787,13.855,-68.359
0.457,-0.081,1.092,66.895,18.372,-68.298
0.456,-0.105,1.057,59.875,18.982,-69.824
0.464,-0.122,1.029,54.688,18.311,-70.374
0.478,-0.139,1.023,54.626,24.597,-66.833
0.463,-0.171,1.032,56.885,34.607,-61.523
0.424,-0.190,1.000,55.420,44.067,-56.274
0.430,-0.211,0.935,51.758,53.223,-53.345
0.422,-0.254,0.901,49.866,59.631,-54.321
0.414,-0.269,0.892,48.706,64.880,-55.603
0.424,-0.253,0.896,45.776,69.946,-53.162
0.419,-0.255,0.892,40.833,70.618,-47.058
0.423,-0.278,0.868,35.156,68.176,-39.856
0.422,-0.290,0.859,30.334,65.735,-33.936
0.431,-0.305,0.850,27.344,64.270,-29.175
0.480,-0.395,0.822,29.785,62.012,-21.423
0.421,-0.343,0.847,46.021,55.908,-3.418
0.430,-0.316,0.824,52.979,51.392,3.601
0.495,-0.282,0.809,46.448,49.072,-0.793
0.518,-0.301,0.829,29.602,46.204,-7.019
0.499,-0.323,0.848,7.874,48.828,-6.104
0.519,-0.345,0.819,-10.193,58.411,-0.916
0.512,-0.358,0.760,-20.508,65.430,6.470
0.496,-0.345,0.732,-22.705,67.322,11.597
0.452,-0.339,0.706,-20.203,66.956,13.977
0.554,-0.299,0.757,-16.602,70.862,16.357
0.465,-0.395,0.689,-12.695,65.735,19.226
0.483,-0.355,0.698,-6.958,61.829,8.301
0.548,-0.376,0.679,-3.113,58.960,4.089
0.553,-0.362,0.682,-8.057,52.673,7.385
0.518,-0.349,0.657,-15.991,45.471,11.169
0.507,-0.347,0.641,-19.470,39.978,14.832
0.473,-0.342,0.606,-17.090,32.776,16.907
0.456,-0.325,0.590,-9.399,23.254,14.282
0.463,-0.328,0.623,1.404,15.381,8.789
0.498,-0.327,0.658,7.690,11.780,6.897
0.523,-0.285,0.670,4.883,12.451,9.460
0.525,-0.262,0.688,3.052,13.062,12.817
0.531,-0.280,0.717,3.052,13.794,16.296
0.555,-0.295,0.751,2.014,14.771,19.348
0.559,-0.318,0.754,0.916,13.550,22.156
0.558,-0.310,0.758,-0.977,11.169,21.790
0.559,-0.288,0.751,-2.563,8.972,18.066
0.570,-0.265,0.742,-2.014,6.348,12.939
0.575,-0.256,0.733,-0.061,3.967,9.399
0.571,-0.249,0.723,1.099,1.770,7.324
0.556,-0.238,0.723,1.221,-0.061,6.042
0.557,-0.222,0.721,0.488,-1.038,5.981
0.565,-0.201,0.699,0.244,-1.648,7.935
0.588,-0.211,0.725,4.578,-1.831,10.986
0.603,-0.224,0.737,6.409,-0.488,14.526
0.614,-0.203,0.749,5.798,0.488,16.541
0.607,-0.205,0.737,6.287,0.122,17.029
0.599,-0.205,0.732,7.141,-0.366,15.991
0.592,-0.209,0.744,7.935,-0.427,13.489
0.592,-0.218,0.732,6.897,-0.244,11.292
0.588,-0.235,0.745,6.104,-0.366,9.033
0.589,-0.237,0.758,5.432,0.122,6.958
0.584,-0.240,0.771,4.517,0.793,6.165
0.586,-0.231,0.783,3.723,1.526,5.249
0.586,-0.243,0.774,2.991,1.465,4.395
0.588,-0.249,0.775,2.136,1.160,3.723
0.587,-0.260,0.771,1.343,0.610,3.235
0.594,-0.252,0.753,0.732,0.488,3.662
0.586,-0.244,0.746,2.014,-0.061,4.639
0.580,-0.233,0.740,3.235,-0.366,5.432
0.595,-0.214,0.743,3.418,0.000,6.714
0.603,-0.199,0.758,2.380,0.671,8.972
0.609,-0.184,0.743,-0.061,2.197,12.512
0.614,-0.174,0.759,-2.197,4.944,14.160
0.621,-0.194,0.776,-3.113,6.287,13.184
0.619,-0.210,0.784,-5.920,7.141,10.925
0.619,-0.201,0.771,-8.606,8.545,8.484
0.623,-0.182,0.738,-7.446,8.728,6.348
0.609,-0.205,0.782,-1.282,7.324,4.700
0.632,-0.210,0.777,0.244,8.850,3.113
0.622,-0.197,0.758,-2.319,9.888,3.906
0.614,-0.192,0.750,-1.587,10.376,4.700
0.612,-0.180,0.745,-0.244,10.620,4.456
0.610,-0.171,0.734,1.221,10.681,3.723
0.614,-0.168,0.719,1.892,10.376,3.723
0.611,-0.164,0.707,0.366,10.132,4.456
0.607,-0.165,0.693,-1.343,9.094,4.517
0.599,-0.170,0.703,-2.441,8.179,3.784
0.599,-0.180,0.703,-3.601,7.812,3.235
0.604,-0.184,0.693,-4.517,7.812,2.563
0.598,-0.176,0.676,-3.052,6.592,1.343
0.590,-0.184,0.688,2.441,4.211,0.427
0.580,-0.208,0.729,6.897,3.662,0.427
0.585,-0.227,0.742,4.578,5.188,0.732
0.580,-0.225,0.731,-2.136,5.371,0.671
1.272,0.563,0.800,-56.763,161.011,129.517
1.248,0.639,0.744,-64.880,173.340,130.310
0.963,0.753,0.486,-71.350,190.002,130.310
1.084,0.706,0.547,-58.716,226.379,127.625
1.120,0.557,0.505,-46.265,236.145,112.427
1.017,0.546,0.427,-42.603,228.455,90.027
1.007,0.490,0.373,-36.377,224.609,72.998
1.283,0.380,0.473,-26.672,215.027,57.373
1.479,0.352,0.607,-27.893,164.978,38.391
1.546,0.347,0.657,-38.452,92.590,24.109
1.530,0.569,0.622,-41.138,32.532,10.925
1.116,0.880,0.341,-47.119,5.554,17.639
1.489,0.888,0.502,-56.641,45.532,41.260
1.269,0.629,0.443,-98.877,50.293,68.909
0.783,0.670,0.258,-168.579,54.504,103.271
0.448,0.522,0.209,-186.829,101.807,115.417
1.195,0.530,0.456,-169.556,133.850,70.679
1.014,0.408,0.434,-149.658,88.684,43.701
0.409,0.552,0.194,-129.211,31.677,19.470
0.346,0.562,0.247,-67.566,62.134,-9.827
0.634,0.467,0.227,-11.169,111.084,-39.612
0.803,0.672,0.199,-2.747,132.690,-62.683
0.838,0.782,0.076,-22.949,135.315,-63.965
0.786,0.741,-0.003,-44.617,149.231,-62.439
0.803,0.745,0.016,-59.753,181.091,-78.735
0.924,0.814,0.094,-68.115,213.989,-96.252
1.037,0.787,0.148,-77.393,227.966,-93.018
0.832,0.710,-0.029,-93.018,217.834,-69.763
0.710,0.625,-0.088,-101.501,209.290,-48.584
0.693,0.524,-0.133,-101.685,188.904,-44.373
0.685,0.483,-0.176,-98.083,155.334,-49.194
0.688,0.474,-0.202,-89.600,120.728,-52.368
0.727,0.457,-0.174,-75.989,93.628,-52.795
0.780,0.446,-0.161,-61.523,74.341,-54.688
0.813,0.438,-0.156,-51.758,61.218,-55.603
0.795,0.408,-0.173,-46.570,54.810,-52.734
0.762,0.417,-0.221,-45.105,53.467,-48.584
0.735,0.428,-0.291,-43.945,55.847,-45.959
0.820,0.496,-0.246,-43.091,57.800,-47.058
0.769,0.465,-0.296,-47.241,47.791,-49.622
0.742,0.471,-0.316,-56.396,41.565,-50.598
0.754,0.433,-0.315,-64.636,44.434,-47.546
0.745,0.405,-0.316,-73.425,46.143,-44.922
0.714,0.383,-0.319,-82.703,47.119,-41.626
0.681,0.364,-0.337,-90.759,49.255,-36.499
0.654,0.367,-0.351,-98.267,50.354,-32.349
0.634,0.357,-0.364,-104.004,48.462,-29.907
0.615,0.329,-0.359,-107.483,44.373,-29.419
0.611,0.294,-0.352,-107.605,38.574,-30.518
0.598,0.273,-0.359,-103.882,32.227,-31.921
0.577,0.254,-0.352,-98.633,25.085,-33.386
0.551,0.233,-0.348,-93.506,17.029,-35.400
0.515,0.203,-0.329,-90.027,7.935,-37.415
0.474,0.194,-0.322,-87.769,-0.061,-38.208
0.427,0.185,-0.315,-84.717,-7.324,-37.659
0.413,0.183,-0.322,-81.482,-15.564,-37.842
0.416,0.164,-0.307,-79.773,-25.696,-40.222
0.425,0.128,-0.277,-79.163,-37.292,-44.006
0.426,0.084,-0.242,-78.003,-47.363,-45.166
0.419,0.054,-0.204,-76.904,-55.298,-43.518
0.400,0.035,-0.171,-74.341,-63.477,-42.480
0.390,-0.005,-0.158,-70.618,-72.571,-41.504
0.414,-0.013,-0.172,-67.200,-82.703,-41.809
0.427,0.034,-0.203,-62.805,-94.604,-45.044
0.394,0.016,-0.185,-57.861,-107.117,-50.171
0.371,-0.036,-0.125,-58.289,-116.882,-53.467
0.372,-0.080,-0.078,-63.416,-123.535,-53.040
0.409,-0.092,-0.054,-68.604,-125.183,-49.133
0.450,-0.122,-0.004,-71.960,-123.169,-43.579
0.463,-0.183,0.038,-78.552,-118.896,-37.292
0.468,-0.221,0.085,-87.952,-113.525,-31.250
0.479,-0.265,0.107,-94.421,-108.582,-25.879
0.495,-0.289,0.121,-94.604,-106.201,-21.973
0.497,-0.282,0.112,-89.600,-108.276,-19.958
0.484,-0.289,0.110,-82.214,-114.746,-20.752
0.444,-0.306,0.130,-73.914,-123.291,-24.292
0.422,-0.352,0.159,-64.819,-130.005,-29.602
0.436,-0.360,0.190,-54.993,-133.728,-36.316
0.476,-0.392,0.220,-45.471,-133.301,-42.419
0.523,-0.433,0.258,-37.964,-128.723,-46.448
0.535,-0.460,0.288,-34.363,-123.596,-46.997
