aX,aY,aZ,gX,gY,gZ
0.787,-0.942,1.569,-211.792,-100.281,-48.828
0.772,-0.998,1.732,-265.869,-86.060,-44.617
0.835,-1.031,1.748,-304.993,-56.152,-26.917
0.730,-1.014,1.764,-300.537,-20.691,-9.277
0.691,-1.036,1.795,-251.404,10.315,9.216
0.641,-1.088,1.794,-180.298,34.607,33.630
0.580,-1.129,1.733,-104.919,62.012,68.848
0.535,-1.087,1.572,-39.551,90.393,111.328
0.472,-0.927,1.386,11.536,116.821,159.241
0.447,-0.744,1.155,48.767,131.470,204.468
0.332,-0.439,0.897,76.904,137.695,236.938
0.168,-0.115,0.735,100.891,147.095,265.503
0.070,0.167,0.598,116.394,139.221,286.255
0.038,0.374,0.568,120.850,119.385,300.903
-0.132,0.133,0.501,106.445,95.215,324.585
0.040,0.618,0.359,64.575,67.688,306.641
-0.008,0.690,0.370,29.541,39.368,264.526
-0.080,0.710,0.423,-4.639,17.883,220.764
-0.193,0.696,0.467,-50.415,11.414,182.739
-0.324,0.730,0.490,-104.004,7.446,162.476
-0.414,0.832,0.460,-151.611,1.465,158.386
-0.435,0.987,0.427,-177.429,-1.404,159.973
-0.446,1.128,0.419,-174.072,-10.071,158.386
-0.449,1.224,0.504,-149.780,-19.714,147.766
-0.460,1.265,0.621,-122.681,-27.893,131.775
-0.427,1.275,0.715,-103.760,-24.170,117.859
-0.430,1.308,0.736,-91.675,-5.981,105.652
-0.380,1.291,0.702,-83.435,15.503,93.994
-0.500,1.348,0.680,-74.463,28.381,84.656
-0.409,1.443,0.666,-62.988,37.781,77.637
-0.397,1.516,0.721,-49.011,33.569,73.853
-0.322,1.567,0.801,-42.053,26.428,65.674
-0.227,1.558,0.888,-45.654,20.813,54.321
-0.123,1.526,0.956,-62.317,21.118,37.109
-0.038,1.465,0.998,-89.294,29.175,16.235
-0.012,1.399,0.981,-120.789,39.124,-4.822
0.053,1.327,0.908,-151.611,48.584,-21.118
0.015,1.277,0.811,-175.537,49.377,-31.189
0.038,1.243,0.717,-187.561,49.194,-37.354
0.089,1.209,0.637,-183.594,48.645,-41.443
0.129,1.164,0.582,-165.100,46.997,-47.241
0.155,1.097,0.576,-139.404,44.556,-54.260
0.167,1.019,0.596,-116.882,43.030,-59.387
0.149,1.028,0.567,-106.995,46.326,-62.744
0.293,0.893,0.581,-106.628,52.551,-66.589
0.276,0.807,0.587,-118.896,47.974,-72.815
0.263,0.743,0.521,-142.639,51.208,-79.407
0.250,0.670,0.437,-162.842,58.105,-82.825
0.250,0.609,0.327,-171.936,66.650,-84.534
0.191,0.564,0.205,-168.152,71.228,-85.632
0.239,0.490,0.079,-151.306,75.317,-85.266
0.184,0.438,-0.011,-126.221,71.777,-82.825
0.162,0.407,-0.097,-102.478,63.171,-76.294
0.172,0.387,-0.136,-81.116,48.889,-65.552
0.117,0.377,-0.111,-63.538,28.625,-52.979
0.112,0.422,-0.104,-54.688,15.503,-36.499
0.126,0.498,-0.115,-46.875,10.681,-23.376
0.114,0.561,-0.107,-30.518,8.179,-19.348
0.086,0.587,-0.079,-8.423,6.836,-22.217
0.054,0.609,-0.071,11.902,8.362,-25.391
0.067,0.640,-0.075,27.771,10.254,-27.283
0.043,0.626,-0.035,39.124,2.991,-27.588
0.029,0.641,-0.001,38.025,-2.869,-24.658
0.011,0.699,0.016,23.987,-4.883,-18.860
-0.016,0.796,0.034,4.456,-9.583,-14.160
-0.056,0.912,0.044,-15.076,-17.212,-11.902
-0.098,1.021,0.055,-30.823,-24.414,-12.817
-0.132,1.108,0.068,-40.955,-31.616,-16.235
-0.132,1.177,0.060,-48.523,-38.025,-21.057
-0.123,1.218,0.048,-54.871,-43.396,-27.344
